month,week,sat,sun,sat_alt,sun_alt,avg_wkdayholminor_tstile,avg_satholmajor_tstile,avg_sun_tstile
1/1/34,NA,NA,NA,NA,NA,NA,NA,NA
2/1/34,NA,NA,NA,NA,NA,NA,NA,NA
3/1/34,NA,NA,NA,NA,NA,NA,NA,NA
4/1/34,NA,NA,NA,NA,NA,NA,NA,NA
5/1/34,NA,NA,NA,NA,NA,NA,NA,NA
6/1/34,NA,NA,NA,NA,NA,NA,NA,NA
7/1/34,NA,NA,NA,NA,NA,NA,NA,NA
8/1/34,NA,NA,NA,NA,NA,NA,NA,NA
9/1/34,NA,NA,NA,NA,NA,NA,NA,NA
10/1/34,NA,NA,NA,NA,NA,NA,NA,NA
11/1/34,NA,NA,NA,NA,NA,NA,NA,NA
12/1/34,NA,NA,NA,NA,NA,NA,NA,NA
1/1/35,NA,NA,NA,NA,NA,NA,NA,NA
2/1/35,NA,NA,NA,NA,NA,NA,NA,NA
3/1/35,NA,NA,NA,NA,NA,NA,NA,NA
4/1/35,NA,NA,NA,NA,NA,NA,NA,NA
5/1/35,NA,NA,NA,NA,NA,NA,NA,NA
6/1/35,NA,NA,NA,NA,NA,NA,NA,NA
7/1/35,NA,NA,NA,NA,NA,NA,NA,NA
8/1/35,NA,NA,NA,NA,NA,NA,NA,NA
9/1/35,NA,NA,NA,NA,NA,NA,NA,NA
10/1/35,NA,NA,NA,NA,NA,NA,NA,NA
11/1/35,NA,NA,NA,NA,NA,NA,NA,NA
12/1/35,NA,NA,NA,NA,NA,NA,NA,NA
1/1/36,NA,NA,NA,NA,NA,NA,NA,NA
2/1/36,NA,NA,NA,NA,NA,NA,NA,NA
3/1/36,NA,NA,NA,NA,NA,NA,NA,NA
4/1/36,NA,NA,NA,NA,NA,NA,NA,NA
5/1/36,NA,NA,NA,NA,NA,NA,NA,NA
6/1/36,NA,NA,NA,NA,NA,NA,NA,NA
7/1/36,NA,NA,NA,NA,NA,NA,NA,NA
8/1/36,NA,NA,NA,NA,NA,NA,NA,NA
9/1/36,NA,NA,NA,NA,NA,NA,NA,NA
10/1/36,NA,NA,NA,NA,NA,NA,NA,NA
11/1/36,NA,NA,NA,NA,NA,NA,NA,NA
12/1/36,NA,NA,NA,NA,NA,NA,NA,NA
1/1/37,NA,NA,NA,NA,NA,NA,NA,NA
2/1/37,NA,NA,NA,NA,NA,NA,NA,NA
3/1/37,NA,NA,NA,NA,NA,NA,NA,NA
4/1/37,NA,NA,NA,NA,NA,NA,NA,NA
5/1/37,NA,NA,NA,NA,NA,NA,NA,NA
6/1/37,NA,NA,NA,NA,NA,NA,NA,NA
7/1/37,NA,NA,NA,NA,NA,NA,NA,NA
8/1/37,NA,NA,NA,NA,NA,NA,NA,NA
9/1/37,NA,NA,NA,NA,NA,NA,NA,NA
10/1/37,NA,NA,NA,NA,NA,NA,NA,NA
11/1/37,NA,NA,NA,NA,NA,NA,NA,NA
12/1/37,NA,NA,NA,NA,NA,NA,NA,NA
1/1/38,NA,NA,NA,NA,NA,NA,NA,NA
2/1/38,NA,NA,NA,NA,NA,NA,NA,NA
3/1/38,NA,NA,NA,NA,NA,NA,NA,NA
4/1/38,NA,NA,NA,NA,NA,NA,NA,NA
5/1/38,NA,NA,NA,NA,NA,NA,NA,NA
6/1/38,NA,NA,NA,NA,NA,NA,NA,NA
7/1/38,NA,NA,NA,NA,NA,NA,NA,NA
8/1/38,NA,NA,NA,NA,NA,NA,NA,NA
9/1/38,NA,NA,NA,NA,NA,NA,NA,NA
10/1/38,NA,NA,NA,NA,NA,NA,NA,NA
11/1/38,NA,NA,NA,NA,NA,NA,NA,NA
12/1/38,NA,NA,NA,NA,NA,NA,NA,NA
1/1/39,NA,NA,NA,NA,NA,NA,NA,NA
2/1/39,NA,NA,NA,NA,NA,NA,NA,NA
3/1/39,NA,NA,NA,NA,NA,NA,NA,NA
4/1/39,NA,NA,NA,NA,NA,NA,NA,NA
5/1/39,NA,NA,NA,NA,NA,NA,NA,NA
6/1/39,NA,NA,NA,NA,NA,NA,NA,NA
7/1/39,NA,NA,NA,NA,NA,NA,NA,NA
8/1/39,NA,NA,NA,NA,NA,NA,NA,NA
9/1/39,NA,NA,NA,NA,NA,NA,NA,NA
10/1/39,NA,NA,NA,NA,NA,NA,NA,NA
11/1/39,NA,NA,NA,NA,NA,NA,NA,NA
12/1/39,NA,NA,NA,NA,NA,NA,NA,NA
1/1/40,NA,NA,NA,NA,NA,NA,NA,NA
2/1/40,NA,NA,NA,NA,NA,NA,NA,NA
3/1/40,NA,NA,NA,NA,NA,NA,NA,NA
4/1/40,NA,NA,NA,NA,NA,NA,NA,NA
5/1/40,NA,NA,NA,NA,NA,NA,NA,NA
6/1/40,NA,NA,NA,NA,NA,NA,NA,NA
7/1/40,NA,NA,NA,NA,NA,NA,NA,NA
8/1/40,NA,NA,NA,NA,NA,NA,NA,NA
9/1/40,NA,NA,NA,NA,NA,NA,NA,NA
10/1/40,NA,NA,NA,NA,NA,NA,NA,NA
11/1/40,NA,NA,NA,NA,NA,NA,NA,NA
12/1/40,NA,NA,NA,NA,NA,NA,NA,NA
